"Code";"Name";"total;total;2021;[person]";"total;tertiary;2021;[person]";"total;lower secondary;2021;[person]";"total;primary completed;2021;[person]";
0403032;"Dobrcz (2)";10154;2263;380;1305;
0403043;"Koronowo (3)";20159;3594;695;2525;
0403044;"Koronowo - urban area (4)";9484;1908;334;970;
0403045;"Koronowo - rural area (5)";10675;1686;361;1555;
0403052;"Nowa Wieś Wielka (2)";8688;1926;307;967;
0403062;"Osielsko (2)";13700;5895;434;1002;
0403072;"Sicienko (2)";8753;1836;313;1180;
0403083;"Solec Kujawski (3)";14326;2847;468;1695;
0403084;"Solec Kujawski - urban area (4)";13370;2682;437;1552;
0403085;"Solec Kujawski - rural area (5)";956;165;31;143;
0404000;"Powiat chełmiński";43201;6165;1610;6835;
0404011;"Chełmno (1)";16576;2919;508;2139;
0404022;"Chełmno (2)";5023;681;229;754;
0404032;"Kijewo Królewskie (2)";3692;487;173;650;
0404042;"Lisewo (2)";4293;462;173;738;
0404052;"Papowo Biskupie (2)";3475;298;150;774;
0404062;"Stolno (2)";4364;510;188;846;
0404072;"Unisław (2)";5778;808;189;934;
0405000;"Powiat golubsko-dobrzyński";37717;5202;1301;6482;
0405011;"Golub-Dobrzyń (1)";10147;1751;352;1335;
0405022;"Ciechocin (2)";3374;391;134;669;
0405032;"Golub-Dobrzyń (2)";7505;1115;281;1275;
0405043;"Kowalewo Pomorskie (3)";9657;1216;380;1440;
0405044;"Kowalewo Pomorskie - urban area (4)";3523;575;126;421;
0405045;"Kowalewo Pomorskie - rural area (5)";6134;641;254;1019;
0405052;"Radomin (2)";3375;394;68;723;
0405062;"Zbójno (2)";3659;335;86;1040;
0406000;"Powiat grudziądzki";33300;4552;1282;5982;
0406012;"Grudziądz (2)";11064;2190;375;1505;
0406022;"Gruta (2)";5252;613;221;1002;
0406033;"Łasin (3)";6405;758;221;1258;
0406034;"Łasin - urban area (4)";2723;442;72;411;
0406035;"Łasin - rural area (5)";3682;316;149;847;
0406043;"Radzyń Chełmiński (3)";3856;383;160;741;
0406044;"Radzyń Chełmiński - urban area (4)";1561;185;49;256;
0406045;"Radzyń Chełmiński - rural area (5)";2295;198;111;485;
0406052;"Rogóźno (2)";3409;367;146;655;
0406062;"Świecie nad Osą (2)";3314;241;159;821;
0407000;"Powiat inowrocławski";135028;22430;3684;18339;
0407011;"Inowrocław (1)";61664;12511;1474;6532;
0407022;"Dąbrowa Biskupia (2)";4266;435;129;830;
0407033;"Gniewkowo (3)";12117;1439;378;1926;
0407034;"Gniewkowo - urban area (4)";6035;780;162;813;
0407035;"Gniewkowo - rural area (5)";6082;659;216;1113;
0407042;"Inowrocław (2)";10285;1813;349;1538;
0407053;"Janikowo (3)";11041;1430;341;1664;
0407054;"Janikowo - urban area (4)";7391;1031;206;976;
0407055;"Janikowo - rural area (5)";3650;399;135;688;
0407063;"Kruszwica (3)";16072;2224;446;2620;
0407064;"Kruszwica - urban area (4)";8209;1353;222;1042;
0407065;"Kruszwica - rural area (5)";7863;871;224;1578;
0407073;"Pakość (3)";8094;1092;203;1285;
0407074;"Pakość - urban area (4)";4669;654;129;684;
0407075;"Pakość - rural area (5)";3425;438;74;601;
0407082;"Rojewo (2)";3840;454;120;775;
0407092;"Złotniki Kujawskie (2)";7649;1032;244;1169;
0408000;"Powiat lipnowski";54670;7516;2138;10847;
0408011;"Lipno (1)";11936;2256;394;1684;
0408022;"Bobrowniki (2)";2575;318;127;554;
0408032;"Chrostkowo (2)";2427;249;90;672;
0408043;"Dobrzyń nad Wisłą (3)";6368;730;257;1273;
0408044;"Dobrzyń nad Wisłą - urban area (4)";1803;249;71;295;
0408045;"Dobrzyń nad Wisłą - rural area (5)";4565;481;186;978;
0408052;"Kikół (2)";5786;592;274;1359;
0408062;"Lipno (2)";9841;1302;357;2012;
0408073;"Skępe (3)";6205;877;234;1231;
0408074;"Skępe - urban area (4)";3033;617;85;394;
0408075;"Skępe - rural area (5)";3172;260;149;837;
0408082;"Tłuchowo (2)";3814;501;189;758;
0408092;"Wielgie (2)";5718;691;216;1304;
0409000;"Powiat mogileński";38325;5683;1162;5253;
0409012;"Dąbrowa (2)";3758;426;157;618;
0409022;"Jeziora Wielkie (2)";4060;438;130;744;
0409033;"Mogilno (3)";20864;3409;580;2463;
0409034;"Mogilno - urban area (4)";10045;1917;244;919;
0409035;"Mogilno - rural area (5)";10819;1492;336;1544;
0409043;"Strzelno (3)";9643;1410;295;1428;
0409044;"Strzelno - urban area (4)";4729;819;123;580;
0409045;"Strzelno - rural area (5)";4914;591;172;848;
0410000;"Powiat nakielski";71711;10867;2644;10770;
0410013;"Kcynia (3)";10733;1253;414;2013;
0410014;"Kcynia - urban area (4)";3773;653;145;500;
0410015;"Kcynia - rural area (5)";6960;600;269;1513;
0410023;"Mrocza (3)";7608;859;376;1545;
0410024;"Mrocza - urban area (4)";3567;484;176;553;
0410025;"Mrocza - rural area (5)";4041;375;200;992;
0410033;"Nakło nad Notecią (3)";26346;4318;899;3596;
0410034;"Nakło nad Notecią - urban area (4)";15443;2627;533;2021;
0410035;"Nakło nad Notecią - rural area (5)";10903;1691;366;1575;
0410042;"Sadki (2)";5929;678;275;1078;
0410053;"Szubin (3)";21095;3759;680;2538;
0410054;"Szubin - urban area (4)";8200;1586;245;831;
0410055;"Szubin - rural area (5)";12895;2173;435;1707;
0411000;"Powiat radziejowski";34028;4942;1027;6631;
0411011;"Radziejów (1)";4704;1006;125;505;
0411022;"Bytoń (2)";2937;358;78;682;
0411032;"Dobre (2)";4449;534;129;785;
0411042;"Osięciny (2)";6488;909;211;1393;
0411053;"Piotrków Kujawski (3)";7706;1029;244;1501;
0411054;"Piotrków Kujawski - urban area (4)";3728;656;99;499;
0411055;"Piotrków Kujawski - rural area (5)";3978;373;145;1002;
0411062;"Radziejów (2)";3723;628;104;747;
0411072;"Topólka (2)";4021;478;136;1018;
0412000;"Powiat rypiński";36136;4944;1326;8193;
0412011;"Rypin (1)";13662;2498;433;2176;
0412022;"Brzuze (2)";4268;494;179;1040;
0412032;"Rogowo (2)";3998;424;155;1164;
0412042;"Rypin (2)";6171;719;238;1543;
0412052;"Skrwilno (2)";4795;509;202;1340;
0412062;"Wąpielsk (2)";3242;300;119;930;
0413000;"Powiat sępoleński";33826;4453;1260;5643;
0413013;"Kamień Krajeński (3)";5670;687;195;1082;
0413014;"Kamień Krajeński - urban area (4)";2037;350;62;282;
0413015;"Kamień Krajeński - rural area (5)";3633;337;133;800;
0413023;"Sępólno Krajeńskie (3)";13073;1950;471;1892;
0413024;"Sępólno Krajeńskie - urban area (4)";7712;1388;238;858;
0413025;"Sępólno Krajeńskie - rural area (5)";5361;562;233;1034;
0413032;"Sośno (2)";3924;355;172;813;
0413043;"Więcbork (3)";11159;1461;422;1856;
0413044;"Więcbork - urban area (4)";5058;773;163;704;
0413045;"Więcbork - rural area (5)";6101;688;259;1152;
0414000;"Powiat świecki";82391;11992;2722;12214;
0414012;"Bukowiec (2)";4161;470;145;677;
0414022;"Dragacz (2)";5959;817;213;892;
0414032;"Drzycim (2)";4072;469;136;650;
0414042;"Jeżewo (2)";6600;854;224;1008;
0414052;"Lniano (2)";3469;403;104;655;
0414063;"Nowe (3)";8541;920;278;1327;
0414064;"Nowe - urban area (4)";4877;640;139;646;
0414065;"Nowe - rural area (5)";3664;280;139;681;
0414072;"Osie (2)";4704;657;161;776;
0414082;"Pruszcz (2)";7940;1171;283;1109;
0414093;"Świecie (3)";28656;5303;855;3582;
0414094;"Świecie - urban area (4)";21653;4182;608;2531;
0414095;"Świecie - rural area (5)";7003;1121;247;1051;
0414102;"Świekatowo (2)";3002;376;122;460;
0414112;"Warlubie (2)";5287;552;201;1078;
0415000;"Powiat toruński";93299;18311;3480;13085;
0415011;"Chełmża (1)";12189;1641;441;1734;
0415022;"Chełmża (2)";8176;906;349;1583;
0415032;"Czernikowo (2)";7513;944;350;1506;
0415042;"Lubicz (2)";17604;3742;621;2144;
0415052;"Łubianka (2)";6293;1200;226;879;
0415062;"Łysomice (2)";8814;1975;316;1158;
0415072;"Obrowo (2)";15605;3671;537;1951;
0415082;"Wielka Nieszawka (2)";4267;1078;132;496;
0415092;"Zławieś Wielka (2)";12838;3154;508;1634;
0416000;"Powiat tucholski";40210;5628;1540;6115;
0416012;"Cekcyn (2)";5670;771;197;917;
0416022;"Gostycyn (2)";4226;472;164;688;
0416032;"Kęsowo (2)";3539;371;148;640;
0416042;"Lubiewo (2)";4893;591;207;744;
0416052;"Śliwice (2)";4745;532;192;847;
0416063;"Tuchola (3)";17137;2891;632;2279;
0416064;"Tuchola - urban area (4)";11555;2224;412;1258;
0416065;"Tuchola - rural area (5)";5582;667;220;1021;
0417000;"Powiat wąbrzeski";28488;3834;1144;4725;
0417011;"Wąbrzeźno (1)";11627;1970;414;1547;
0417022;"Dębowa Łąka (2)";2523;254;118;462;
0417032;"Książki (2)";3353;360;137;662;
0417042;"Płużnica (2)";3892;408;154;840;
0417052;"Ryńsk (2)";7093;842;321;1214;
0418000;"Powiat włocławski";72400;10897;2337;14584;
0418011;"Kowal (1)";2980;592;74;413;
0418022;"Baruchowo (2)";2926;328;103;700;
0418032;"Boniewo (2)";2818;293;116;779;
0418043;"Brześć Kujawski (3)";9643;1643;330;1631;
0418044;"Brześć Kujawski - urban area (4)";3983;638;139;623;
0418045;"Brześć Kujawski - rural area (5)";5660;1005;191;1008;
0418052;"Choceń (2)";6759;807;213;1479;
0418063;"Chodecz (3)";4942;528;136;1170;
0418064;"Chodecz - urban area (4)";1597;266;25;247;
0418065;"Chodecz - rural area (5)";3345;262;111;923;
0418072;"Fabianki (2)";8621;1920;295;1295;
0418083;"Izbica Kujawska (3)";6350;715;216;1601;
0418084;"Izbica Kujawska - urban area (4)";2215;371;62;392;
0418085;"Izbica Kujawska - rural area (5)";4135;344;154;1209;
0418092;"Kowal (2)";3385;439;87;735;
0418102;"Lubanie (2)";3841;577;131;650;
0418113;"Lubień Kujawski (3)";6047;717;190;1336;
0418114;"Lubień Kujawski - urban area (4)";1171;257;29;148;
0418115;"Lubień Kujawski - rural area (5)";4876;460;161;1188;
0418123;"Lubraniec (3)";7839;1079;229;1652;
0418124;"Lubraniec - urban area (4)";2521;443;57;365;
0418125;"Lubraniec - rural area (5)";5318;636;172;1287;
0418132;"Włocławek (2)";6249;1259;217;1143;
0419000;"Powiat żniński";58848;8783;1811;7850;
0419013;"Barcin (3)";12434;1752;390;1724;
0419014;"Barcin - urban area (4)";6311;953;179;799;
0419015;"Barcin - rural area (5)";6123;799;211;925;
0419022;"Gąsawa (2)";4324;646;108;643;
0419033;"Janowiec Wielkopolski (3)";7388;901;239;940;
0419034;"Janowiec Wielkopolski - urban area (4)";3301;467;86;292;
0419035;"Janowiec Wielkopolski - rural area (5)";4087;434;153;648;
0419043;"Łabiszyn (3)";8863;1301;277;1331;
0419044;"Łabiszyn - urban area (4)";3881;609;103;541;
0419045;"Łabiszyn - rural area (5)";4982;692;174;790;
0419052;"Rogowo (2)";5716;747;205;811;
0419063;"Żnin (3)";20123;3436;592;2401;
0419064;"Żnin - urban area (4)";11853;2404;306;1183;
0419065;"Żnin - rural area (5)";8270;1032;286;1218;
0461000;"City with powiat status Bydgoszcz";297903;86628;7598;25903;
0461011;"Bydgoszcz (1)";297903;86628;7598;25903;
0462000;"City with powiat status Grudziądz";79760;14605;2391;9523;
0462011;"Grudziądz (1)";79760;14605;2391;9523;
0463000;"City with powiat status Toruń";174283;52847;4518;15406;
0463011;"Toruń (1)";174283;52847;4518;15406;
0464000;"City with powiat status Włocławek";93166;20232;2585;10881;
0464011;"Włocławek (1)";93166;20232;2585;10881;
0600000;"LUBELSKIE";1783091;417529;50103;240890;
0601000;"Powiat bialski";91805;17063;2974;14100;
0601011;"Międzyrzec Podlaski (1)";13772;3052;414;1448;
0601021;"Terespol (1)";4656;1184;125;404;
0601032;"Biała Podlaska (2)";12570;3112;442;1586;
0601042;"Drelów (2)";4399;629;179;850;
0601052;"Janów Podlaski (2)";4321;753;131;725;
0601062;"Kodeń (2)";2946;484;104;549;
0601072;"Konstantynów (2)";3301;557;103;517;
0601082;"Leśna Podlaska (2)";3472;586;106;626;
0601092;"Łomazy (2)";4093;641;136;754;
0601102;"Międzyrzec Podlaski (2)";8635;1315;327;1501;
0601112;"Piszczac (2)";5879;931;205;1073;
0601122;"Rokitno (2)";2425;345;86;496;
0601132;"Rossosz (2)";1864;304;52;249;
0601142;"Sławatycze (2)";1960;303;76;385;
0601152;"Sosnówka (2)";1927;284;40;383;
0601162;"Terespol (2)";5435;927;164;865;
0601172;"Tuczna (2)";2533;342;76;424;
0601182;"Wisznice (2)";4025;801;98;590;
0601192;"Zalesie (2)";3592;513;110;675;
0602000;"Powiat biłgorajski";85748;16573;2311;13849;
0602011;"Biłgoraj (1)";22305;6303;508;2020;
0602022;"Aleksandrów (2)";2747;435;107;536;
0602032;"Biłgoraj (2)";11642;2120;350;1910;
0602042;"Biszcza (2)";3242;476;79;593;
0602053;"Frampol (3)";5072;810;141;1007;
0602054;"Frampol - urban area (4)";1198;275;28;140;
0602055;"Frampol - rural area (5)";3874;535;113;867;
0602063;"Goraj (3)";3470;497;115;785;
0602064;"Goraj - urban area (4)";785;169;22;115;
0602065;"Goraj - rural area (5)";2685;328;93;670;
0602073;"Józefów (3)";5814;1037;144;1038;
0602074;"Józefów - urban area (4)";2139;523;52;239;
0602075;"Józefów - rural area (5)";3675;514;92;799;
0602082;"Księżpol (2)";5788;991;188;976;
0602092;"Łukowa (2)";3502;557;110;656;
0602102;"Obsza (2)";3565;471;126;716;
0602112;"Potok Górny (2)";4565;657;94;950;
0602123;"Tarnogród (3)";5511;989;158;895;
0602124;"Tarnogród - urban area (4)";2790;633;71;314;
0602125;"Tarnogród - rural area (5)";2721;356;87;581;
0602132;"Tereszpol (2)";3345;492;94;472;
0602142;"Turobin (2)";5180;738;97;1295;
0603000;"Powiat chełmski";65266;10110;2295;12420;
0603011;"Rejowiec Fabryczny (1)";3604;690;111;490;
0603022;"Białopole (2)";2515;309;96;624;
0603032;"Chełm (2)";12717;2967;427;1764;
0603042;"Dorohusk (2)";5278;763;186;1059;
0603052;"Dubienka (2)";1921;235;59;394;
0603062;"Kamień (2)";3508;596;122;600;
0603072;"Leśniowice (2)";2976;352;106;685;
0603082;"Rejowiec Fabryczny (2)";3580;398;133;686;
0603092;"Ruda-Huta (2)";3688;461;144;821;
0603102;"Sawin (2)";4631;637;171;1015;
0603113;"Siedliszcze (3)";5678;710;198;1250;
0603114;"Siedliszcze - urban area (4)";1177;239;36;157;
0603115;"Siedliszcze - rural area (5)";4501;471;162;1093;
0603122;"Wierzbica (2)";4185;536;146;842;
0603132;"Wojsławice (2)";3132;382;113;652;
0603142;"Żmudź (2)";2476;306;85;531;
0603153;"Rejowiec (3)";5377;768;198;1007;
0603154;"Rejowiec - urban area (4)";1720;389;53;190;
0603155;"Rejowiec - rural area (5)";3657;379;145;817;
0604000;"Powiat hrubieszowski";52616;8472;1453;9583;
0604011;"Hrubieszów (1)";14904;3615;357;1358;
0604022;"Dołhobyczów (2)";4361;508;132;950;
0604032;"Horodło (2)";4378;596;114;1042;
0604042;"Hrubieszów (2)";8320;1106;226;1825;
0604052;"Mircze (2)";5799;750;182;1392;
0604062;"Trzeszczany (2)";3426;412;115;699;
0604072;"Uchanie (2)";3750;439;87;881;
0604082;"Werbkowice (2)";7678;1046;240;1436;
0605000;"Powiat janowski";38523;6981;1026;7391;
0605012;"Batorz (2)";2740;320;94;612;
0605022;"Chrzanów (2)";2417;276;72;635;
0605032;"Dzwola (2)";5304;681;158;1321;
0605042;"Godziszów (2)";4909;626;132;1348;
0605053;"Janów Lubelski (3)";13255;3482;289;1446;
0605054;"Janów Lubelski - urban area (4)";9948;2875;201;883;
0605055;"Janów Lubelski - rural area (5)";3307;607;88;563;
0605063;"Modliborzyce (3)";5968;1015;134;1143;
0605064;"Modliborzyce - urban area (4)";1238;359;26;122;
0605065;"Modliborzyce - rural area (5)";4730;656;108;1021;
0605072;"Potok Wielki (2)";3930;581;147;886;
0606000;"Powiat krasnostawski";54201;9502;1505;9201;
0606011;"Krasnystaw (1)";15927;4182;377;1626;
0606022;"Fajsławice (2)";3983;598;112;813;
0606032;"Gorzków (2)";3013;434;47;711;
0606042;"Izbica (2)";6948;943;188;1429;
0606052;"Krasnystaw (2)";7309;1239;229;1122;
0606062;"Kraśniczyn (2)";3211;387;110;675;
0606072;"Łopiennik Górny (2)";3265;424;96;675;
0606092;"Rudnik (2)";2561;241;104;623;
0606102;"Siennica Różana (2)";3458;549;105;563;
0606112;"Żółkiewka (2)";4526;505;137;964;
0607000;"Powiat kraśnicki";80681;14513;2241;12179;
0607011;"Kraśnik (1)";29068;6553;704;2996;
0607023;"Annopol (3)";7180;990;211;1387;
0607024;"Annopol - urban area (4)";2082;416;65;191;
0607025;"Annopol - rural area (5)";5098;574;146;1196;
0607032;"Dzierzkowice (2)";4552;780;142;723;
0607042;"Gościeradów (2)";6100;820;185;1182;
0607052;"Kraśnik (2)";6180;1174;168;805;
0607062;"Szastarka (2)";4869;648;130;1021;
0607072;"Trzydnik Duży (2)";5393;751;157;1139;
0607083;"Urzędów (3)";7267;1075;193;1233;
0607084;"Urzędów - urban area (4)";1494;305;35;169;
0607085;"Urzędów - rural area (5)";5773;770;158;1064;
0607092;"Wilkołaz (2)";4616;853;159;643;
0607102;"Zakrzówek (2)";5456;869;192;1050;
0608000;"Powiat lubartowski";74278;13714;2207;13010;
0608011;"Lubartów (1)";17928;5021;420;1680;
0608022;"Abramów (2)";3416;407;110;712;
0608032;"Firlej (2)";4979;763;154;1097;
0608042;"Jeziorzany (2)";2246;236;71;478;
0608053;"Kamionka (3)";5564;961;188;1006;
0608054;"Kamionka - urban area (4)";1490;323;54;201;
0608055;"Kamionka - rural area (5)";4074;638;134;805;
0608063;"Kock (3)";5170;758;187;1024;
0608064;"Kock - urban area (4)";2626;523;94;381;
0608065;"Kock - rural area (5)";2544;235;93;643;
0608072;"Lubartów (2)";10186;2196;280;1458;
0608082;"Michów (2)";4968;649;166;1186;
0608092;"Niedźwiada (2)";5364;686;177;1244;
0608103;"Ostrów Lubelski (3)";4396;719;141;850;
0608104;"Ostrów Lubelski - urban area (4)";1776;407;49;204;
0608105;"Ostrów Lubelski - rural area (5)";2620;312;92;646;
0608112;"Ostrówek (2)";3236;389;97;849;
0608122;"Serniki (2)";4160;590;130;821;
0608132;"Uścimów (2)";2665;339;86;605;
0609000;"Powiat lubelski";136865;34443;4047;18014;
0609013;"Bełżyce (3)";11052;2416;318;1385;
0609014;"Bełżyce - urban area (4)";5333;1384;145;475;
0609015;"Bełżyce - rural area (5)";5719;1032;173;910;
0609022;"Borzechów (2)";3203;511;84;591;
0609033;"Bychawa (3)";9790;1772;261;1497;
0609034;"Bychawa - urban area (4)";4175;977;92;455;
0609035;"Bychawa - rural area (5)";5615;795;169;1042;
0609042;"Garbów (2)";7658;1395;219;1159;
0609052;"Głusk (2)";11136;4074;339;1067;
0609062;"Jabłonna (2)";7086;1347;197;1141;
0609072;"Jastków (2)";12736;3823;385;1464;
0609082;"Konopnica (2)";13015;4542;375;1181;
0609092;"Krzczonów (2)";3723;557;104;665;
0609102;"Niedrzwica Duża (2)";10002;2195;343;1173;
0609112;"Niemce (2)";17754;5046;513;2174;
0609122;"Strzyżewice (2)";6924;1416;229;906;
0609132;"Wojciechów (2)";5141;1046;141;882;
0609142;"Wólka (2)";11424;3581;392;1114;
0609152;"Wysokie (2)";3792;433;78;958;
0609162;"Zakrzew (2)";2429;289;69;657;
0610000;"Powiat łęczyński";47801;9405;1464;6740;
0610012;"Cyców (2)";6501;930;266;1321;
0610022;"Ludwin (2)";4650;724;191;867;
0610033;"Łęczna (3)";19401;4724;491;1712;
0610034;"Łęczna - urban area (4)";15622;3919;379;1231;
0610035;"Łęczna - rural area (5)";3779;805;112;481;
0610042;"Milejów (2)";7610;1129;219;1272;
0610052;"Puchaczów (2)";4671;852;130;810;
0610062;"Spiczyn (2)";4968;1046;167;758;
0611000;"Powiat łukowski";86678;15056;2794;15217;
0611011;"Łuków (1)";24161;6082;622;2266;
0611021;"Stoczek Łukowski (1)";2110;439;42;262;
0611032;"Adamów (2)";4475;716;133;885;
0611042;"Krzywda (2)";8285;1112;347;1778;
0611052;"Łuków (2)";14960;2588;509;2573;
0611062;"Serokomla (2)";3197;368;107;778;
0611072;"Stanin (2)";7798;1029;286;1688;
0611082;"Stoczek Łukowski (2)";6301;720;224;1638;
0611092;"Trzebieszów (2)";5997;894;203;1191;
0611102;"Wojcieszków (2)";5549;680;192;1316;
0611112;"Wola Mysłowska (2)";3845;428;129;842;
0612000;"Powiat opolski";49813;8100;1466;8073;
0612012;"Chodel (2)";5470;816;195;984;
0612023;"Józefów nad Wisłą (3)";5463;698;157;1130;
0612024;"Józefów nad Wisłą - urban area (4)";734;135;18;89;
0612025;"Józefów nad Wisłą - rural area (5)";4729;563;139;1041;
0612032;"Karczmiska (2)";4709;725;116;711;
0612042;"Łaziska (2)";4064;546;124;723;
0612053;"Opole Lubelskie (3)";14513;2702;408;2206;
0612054;"Opole Lubelskie - urban area (4)";7153;1688;165;744;
0612055;"Opole Lubelskie - rural area (5)";7360;1014;243;1462;
0612063;"Poniatowa (3)";11855;2134;343;1569;
0612064;"Poniatowa - urban area (4)";7596;1541;196;812;
0612065;"Poniatowa - rural area (5)";4259;593;147;757;
0612072;"Wilków (2)";3739;479;123;750;
0613000;"Powiat parczewski";29015;5219;868;4868;
0613012;"Dębowa Kłoda (2)";3169;417;115;680;
0613022;"Jabłoń (2)";3170;533;90;579;
0613032;"Milanów (2)";3094;443;110;587;
0613043;"Parczew (3)";12311;2855;337;1411;
0613044;"Parczew - urban area (4)";9127;2388;229;882;
0613045;"Parczew - rural area (5)";3184;467;108;529;
0613052;"Podedwórze (2)";1391;208;40;262;
0613062;"Siemień (2)";3805;480;95;860;
0613072;"Sosnowica (2)";2075;283;81;489;
0614000;"Powiat puławski";96299;22591;2659;10900;
0614011;"Puławy (1)";40199;11611;981;3278;
0614022;"Baranów (2)";3204;464;110;561;
0614032;"Janowiec (2)";3175;605;100;470;
0614043;"Kazimierz Dolny (3)";5721;1170;168;768;
0614044;"Kazimierz Dolny - urban area (4)";2927;728;69;333;
0614045;"Kazimierz Dolny - rural area (5)";2794;442;99;435;
0614052;"Końskowola (2)";7470;1504;223;1047;
0614062;"Kurów (2)";6438;1242;174;909;
0614072;"Markuszów (2)";2542;397;103;393;
0614083;"Nałęczów (3)";7720;1750;212;921;
0614084;"Nałęczów - urban area (4)";3314;988;86;315;
0614085;"Nałęczów - rural area (5)";4406;762;126;606;
0614092;"Puławy (2)";10540;2276;327;1242;
0614102;"Wąwolnica (2)";3880;650;115;539;
0614112;"Żyrzyn (2)";5410;922;146;772;
0615000;"Powiat radzyński";48525;8163;1714;7880;
0615011;"Radzyń Podlaski (1)";12942;3228;373;1179;
0615022;"Borki (2)";4950;609;192;986;
0615032;"Czemierniki (2)";3565;501;136;724;
0615042;"Kąkolewnica (2)";6611;894;260;1183;
0615052;"Komarówka Podlaska (2)";3491;556;112;620;
0615062;"Radzyń Podlaski (2)";6718;1050;279;1125;
0615072;"Ulan-Majorat (2)";4788;608;150;984;
0615082;"Wohyń (2)";5460;717;212;1079;
0616000;"Powiat rycki";45801;8991;1258;5350;
0616011;"Dęblin (1)";13011;3285;326;1075;
0616022;"Kłoczew (2)";5786;747;195;869;
0616032;"Nowodwór (2)";3348;413;116;578;
0616043;"Ryki (3)";16860;3480;438;1825;
0616044;"Ryki - urban area (4)";8089;2064;185;658;
0616045;"Ryki - rural area (5)";8771;1416;253;1167;
0616052;"Stężyca (2)";4276;627;127;623;
0616062;"Ułęż (2)";2520;439;56;380;
0617000;"Powiat świdnicki";61549;15328;1653;7001;
0617011;"Świdnik (1)";33159;9939;787;2537;
0617022;"Mełgiew (2)";8973;2166;275;1130;
0617033;"Piaski (3)";8952;1770;285;1433;
0617034;"Piaski - urban area (4)";2199;585;59;212;
0617035;"Piaski - rural area (5)";6753;1185;226;1221;
0617042;"Rybczewice (2)";2924;410;55;719;
0617052;"Trawniki (2)";7541;1043;251;1182;
0618000;"Powiat tomaszowski";69919;12474;2015;11923;
0618011;"Tomaszów Lubelski (1)";16471;4741;359;1390;
0618022;"Bełżec (2)";2767;398;76;449;
0618032;"Jarczów (2)";2826;334;81;633;
0618042;"Krynice (2)";2729;357;107;531;
