"Code";"Name";"total;place of residence;as of 30 June;total;2024;[person]";"in urban areas;place of residence;as of 30 June;total;2024;[person]";"in rural areas;place of residence;as of 30 June;total;2024;[person]";
1206104;"Skała - urban area (4)";3872;3872;0;
1206105;"Skała - rural area (5)";7085;0;7085;
1206113;"Skawina (3)";43990;23919;20071;
1206114;"Skawina - urban area (4)";23919;23919;0;
1206115;"Skawina - rural area (5)";20071;0;20071;
1206123;"Słomniki (3)";13671;4171;9500;
1206124;"Słomniki - urban area (4)";4171;4171;0;
1206125;"Słomniki - rural area (5)";9500;0;9500;
1206132;"Sułoszowa (2)";5651;0;5651;
1206143;"Świątniki Górne (3)";11174;2385;8789;
1206144;"Świątniki Górne - urban area (4)";2385;2385;0;
1206145;"Świątniki Górne - rural area (5)";8789;0;8789;
1206152;"Wielka Wieś (2)";17171;0;17171;
1206162;"Zabierzów (2)";29718;0;29718;
1206172;"Zielonki (2)";27965;0;27965;
1207000;"Powiat limanowski";131765;22254;109511;
1207000;"Powiat limanowski - URBAN GMINAS";22254;22254;0;
1207011;"Limanowa (1)";14437;14437;0;
1207021;"Mszana Dolna (1)";7817;7817;0;
1207032;"Dobra (2)";10109;0;10109;
1207042;"Jodłownik (2)";8792;0;8792;
1207052;"Kamienica (2)";7795;0;7795;
1207062;"Laskowa (2)";8190;0;8190;
1207072;"Limanowa (2)";26118;0;26118;
1207082;"Łukowica (2)";10184;0;10184;
1207092;"Mszana Dolna (2)";17652;0;17652;
1207102;"Niedźwiedź (2)";7282;0;7282;
1207112;"Słopnice (2)";7027;0;7027;
1207122;"Tymbark (2)";6362;0;6362;
1208000;"Powiat miechowski";46523;11749;34774;
1208000;"Powiat miechowski - URBAN-RURAL GMINAS";23456;11749;11707;
1208012;"Charsznica (2)";7038;0;7038;
1208022;"Gołcza (2)";5907;0;5907;
1208032;"Kozłów (2)";4403;0;4403;
1208043;"Książ Wielki (3)";4816;846;3970;
1208044;"Książ Wielki - urban area (4)";846;846;0;
1208045;"Książ Wielki - rural area (5)";3970;0;3970;
1208053;"Miechów (3)";18640;10903;7737;
1208054;"Miechów - urban area (4)";10903;10903;0;
1208055;"Miechów - rural area (5)";7737;0;7737;
1208062;"Racławice (2)";2426;0;2426;
1208072;"Słaboszów (2)";3293;0;3293;
1209000;"Powiat myślenicki";130028;30342;99686;
1209000;"Powiat myślenicki - URBAN-RURAL GMINAS";76386;30342;46044;
1209013;"Dobczyce (3)";15536;6134;9402;
1209014;"Dobczyce - urban area (4)";6134;6134;0;
1209015;"Dobczyce - rural area (5)";9402;0;9402;
1209022;"Lubień (2)";10109;0;10109;
1209033;"Myślenice (3)";45618;17720;27898;
1209034;"Myślenice - urban area (4)";17720;17720;0;
1209035;"Myślenice - rural area (5)";27898;0;27898;
1209042;"Pcim (2)";11091;0;11091;
1209052;"Raciechowice (2)";6444;0;6444;
1209062;"Siepraw (2)";9667;0;9667;
1209073;"Sułkowice (3)";15232;6488;8744;
1209074;"Sułkowice - urban area (4)";6488;6488;0;
1209075;"Sułkowice - rural area (5)";8744;0;8744;
1209082;"Tokarnia (2)";8789;0;8789;
1209092;"Wiśniowa (2)";7542;0;7542;
1210000;"Powiat nowosądecki";215039;33872;181167;
1210000;"Powiat nowosądecki - URBAN GMINAS";5928;5928;0;
1210000;"Powiat nowosądecki - URBAN-RURAL GMINAS";60027;27944;32083;
1210011;"Grybów (1)";5928;5928;0;
1210022;"Chełmiec (2)";29811;0;29811;
1210032;"Gródek nad Dunajcem (2)";8909;0;8909;
1210042;"Grybów (2)";25344;0;25344;
1210052;"Kamionka Wielka (2)";10496;0;10496;
1210062;"Korzenna (2)";14445;0;14445;
1210073;"Krynica-Zdrój (3)";15521;9504;6017;
1210074;"Krynica-Zdrój - urban area (4)";9504;9504;0;
1210075;"Krynica-Zdrój - rural area (5)";6017;0;6017;
1210082;"Łabowa (2)";6034;0;6034;
1210092;"Łącko (2)";16670;0;16670;
1210102;"Łososina Dolna (2)";11211;0;11211;
1210113;"Muszyna (3)";11103;4432;6671;
1210114;"Muszyna - urban area (4)";4432;4432;0;
1210115;"Muszyna - rural area (5)";6671;0;6671;
1210122;"Nawojowa (2)";8883;0;8883;
1210133;"Piwniczna-Zdrój (3)";9905;5362;4543;
1210134;"Piwniczna-Zdrój - urban area (4)";5362;5362;0;
1210135;"Piwniczna-Zdrój - rural area (5)";4543;0;4543;
1210142;"Podegrodzie (2)";13640;0;13640;
1210152;"Rytro (2)";3641;0;3641;
1210163;"Stary Sącz (3)";23498;8646;14852;
1210164;"Stary Sącz - urban area (4)";8646;8646;0;
1210165;"Stary Sącz - rural area (5)";14852;0;14852;
1211000;"Powiat nowotarski";190116;54124;135992;
1211000;"Powiat nowotarski - URBAN GMINAS";33073;33073;0;
1211000;"Powiat nowotarski - URBAN-RURAL GMINAS";45268;21051;24217;
1211011;"Nowy Targ (1)";33073;33073;0;
1211023;"Szczawnica (3)";6623;5188;1435;
1211024;"Szczawnica - urban area (4)";5188;5188;0;
1211025;"Szczawnica - rural area (5)";1435;0;1435;
1211033;"Czarny Dunajec (3)";22160;3677;18483;
1211034;"Czarny Dunajec - urban area (4)";3677;3677;0;
1211035;"Czarny Dunajec - rural area (5)";18483;0;18483;
1211042;"Czorsztyn (2)";7581;0;7581;
1211052;"Jabłonka (2)";19195;0;19195;
1211062;"Krościenko nad Dunajcem (2)";6630;0;6630;
1211072;"Lipnica Wielka (2)";6056;0;6056;
1211082;"Łapsze Niżne (2)";9252;0;9252;
1211092;"Nowy Targ (2)";24043;0;24043;
1211102;"Ochotnica Dolna (2)";8499;0;8499;
1211112;"Raba Wyżna (2)";14464;0;14464;
1211123;"Rabka-Zdrój (3)";16485;12186;4299;
1211124;"Rabka-Zdrój - urban area (4)";12186;12186;0;
1211125;"Rabka-Zdrój - rural area (5)";4299;0;4299;
1211132;"Spytkowice (2)";4719;0;4719;
1211142;"Szaflary (2)";11336;0;11336;
1212000;"Powiat olkuski";105385;49408;55977;
1212000;"Powiat olkuski - URBAN GMINAS";9362;9362;0;
1212000;"Powiat olkuski - URBAN-RURAL GMINAS";67184;40046;27138;
1212011;"Bukowno (1)";9362;9362;0;
1212032;"Bolesław (2)";7516;0;7516;
1212042;"Klucze (2)";14399;0;14399;
1212053;"Olkusz (3)";45413;32048;13365;
1212054;"Olkusz - urban area (4)";32048;32048;0;
1212055;"Olkusz - rural area (5)";13365;0;13365;
1212062;"Trzyciąż (2)";6924;0;6924;
1212073;"Wolbrom (3)";21771;7998;13773;
1212074;"Wolbrom - urban area (4)";7998;7998;0;
1212075;"Wolbrom - rural area (5)";13773;0;13773;
1213000;"Powiat oświęcimski";148042;75575;72467;
1213000;"Powiat oświęcimski - URBAN GMINAS";35420;35420;0;
1213000;"Powiat oświęcimski - URBAN-RURAL GMINAS";74911;40155;34756;
1213011;"Oświęcim (1)";35420;35420;0;
1213023;"Brzeszcze (3)";20306;10578;9728;
1213024;"Brzeszcze - urban area (4)";10578;10578;0;
1213025;"Brzeszcze - rural area (5)";9728;0;9728;
1213033;"Chełmek (3)";12283;8376;3907;
1213034;"Chełmek - urban area (4)";8376;8376;0;
1213035;"Chełmek - rural area (5)";3907;0;3907;
1213043;"Kęty (3)";33240;17619;15621;
1213044;"Kęty - urban area (4)";17619;17619;0;
1213045;"Kęty - rural area (5)";15621;0;15621;
1213052;"Osiek (2)";8112;0;8112;
1213062;"Oświęcim (2)";18971;0;18971;
1213072;"Polanka Wielka (2)";4300;0;4300;
1213082;"Przeciszów (2)";6328;0;6328;
1213093;"Zator (3)";9082;3582;5500;
1213094;"Zator - urban area (4)";3582;3582;0;
1213095;"Zator - rural area (5)";5500;0;5500;
1214000;"Powiat proszowicki";41940;8088;33852;
1214000;"Powiat proszowicki - URBAN-RURAL GMINAS";26257;8088;18169;
1214012;"Koniusza (2)";9078;0;9078;
1214023;"Koszyce (3)";5212;759;4453;
1214024;"Koszyce - urban area (4)";759;759;0;
1214025;"Koszyce - rural area (5)";4453;0;4453;
1214033;"Nowe Brzesko (3)";5625;1603;4022;
1214034;"Nowe Brzesko - urban area (4)";1603;1603;0;
1214035;"Nowe Brzesko - rural area (5)";4022;0;4022;
1214042;"Pałecznica (2)";3436;0;3436;
1214053;"Proszowice (3)";15420;5726;9694;
1214054;"Proszowice - urban area (4)";5726;5726;0;
1214055;"Proszowice - rural area (5)";9694;0;9694;
1214062;"Radziemice (2)";3169;0;3169;
1215000;"Powiat suski";82738;19700;63038;
1215000;"Powiat suski - URBAN GMINAS";14190;14190;0;
1215000;"Powiat suski - URBAN-RURAL GMINAS";15693;5510;10183;
1215011;"Jordanów (1)";5389;5389;0;
1215021;"Sucha Beskidzka (1)";8801;8801;0;
1215032;"Budzów (2)";8818;0;8818;
1215042;"Bystra-Sidzina (2)";6811;0;6811;
1215052;"Jordanów (2)";11186;0;11186;
1215063;"Maków Podhalański (3)";15693;5510;10183;
1215064;"Maków Podhalański - urban area (4)";5510;5510;0;
1215065;"Maków Podhalański - rural area (5)";10183;0;10183;
1215072;"Stryszawa (2)";11865;0;11865;
1215082;"Zawoja (2)";8774;0;8774;
1215092;"Zembrzyce (2)";5401;0;5401;
1216000;"Powiat tarnowski";197235;22783;174452;
1216000;"Powiat tarnowski - URBAN-RURAL GMINAS";92282;22783;69499;
1216013;"Ciężkowice (3)";10987;2475;8512;
1216014;"Ciężkowice - urban area (4)";2475;2475;0;
1216015;"Ciężkowice - rural area (5)";8512;0;8512;
1216022;"Gromnik (2)";8737;0;8737;
1216032;"Lisia Góra (2)";15655;0;15655;
1216042;"Pleśna (2)";11740;0;11740;
1216053;"Radłów (3)";9398;2707;6691;
1216054;"Radłów - urban area (4)";2707;2707;0;
1216055;"Radłów - rural area (5)";6691;0;6691;
1216063;"Ryglice (3)";11165;2660;8505;
1216064;"Ryglice - urban area (4)";2660;2660;0;
1216065;"Ryglice - rural area (5)";8505;0;8505;
1216072;"Rzepiennik Strzyżewski (2)";6505;0;6505;
1216082;"Skrzyszów (2)";14180;0;14180;
1216092;"Tarnów (2)";26483;0;26483;
1216103;"Tuchów (3)";16949;6149;10800;
1216104;"Tuchów - urban area (4)";6149;6149;0;
1216105;"Tuchów - rural area (5)";10800;0;10800;
1216112;"Wierzchosławice (2)";10465;0;10465;
1216122;"Wietrzychowice (2)";3697;0;3697;
1216133;"Wojnicz (3)";13082;3134;9948;
1216134;"Wojnicz - urban area (4)";3134;3134;0;
1216135;"Wojnicz - rural area (5)";9948;0;9948;
1216143;"Zakliczyn (3)";12356;1583;10773;
1216144;"Zakliczyn - urban area (4)";1583;1583;0;
1216145;"Zakliczyn - rural area (5)";10773;0;10773;
1216153;"Żabno (3)";18345;4075;14270;
1216154;"Żabno - urban area (4)";4075;4075;0;
1216155;"Żabno - rural area (5)";14270;0;14270;
1216162;"Szerzyny (2)";7491;0;7491;
1217000;"Powiat tatrzański";66375;25100;41275;
1217000;"Powiat tatrzański - URBAN GMINAS";25100;25100;0;
1217011;"Zakopane (1)";25100;25100;0;
1217022;"Biały Dunajec (2)";6828;0;6828;
1217032;"Bukowina Tatrzańska (2)";13568;0;13568;
1217042;"Kościelisko (2)";9095;0;9095;
1217052;"Poronin (2)";11784;0;11784;
1218000;"Powiat wadowicki";157237;39544;117693;
1218000;"Powiat wadowicki - URBAN-RURAL GMINAS";97992;39544;58448;
1218013;"Andrychów (3)";41840;18202;23638;
1218014;"Andrychów - urban area (4)";18202;18202;0;
1218015;"Andrychów - rural area (5)";23638;0;23638;
1218022;"Brzeźnica (2)";10876;0;10876;
1218033;"Kalwaria Zebrzydowska (3)";19825;4288;15537;
1218034;"Kalwaria Zebrzydowska - urban area (4)";4288;4288;0;
1218035;"Kalwaria Zebrzydowska - rural area (5)";15537;0;15537;
1218042;"Lanckorona (2)";6251;0;6251;
1218052;"Mucharz (2)";4175;0;4175;
1218062;"Spytkowice (2)";10067;0;10067;
1218072;"Stryszów (2)";6776;0;6776;
1218082;"Tomice (2)";8303;0;8303;
1218093;"Wadowice (3)";36327;17054;19273;
1218094;"Wadowice - urban area (4)";17054;17054;0;
1218095;"Wadowice - rural area (5)";19273;0;19273;
1218102;"Wieprz (2)";12797;0;12797;
1219000;"Powiat wielicki";144555;45075;99480;
1219000;"Powiat wielicki - URBAN-RURAL GMINAS";102825;45075;57750;
1219012;"Biskupice (2)";11842;0;11842;
1219022;"Gdów (2)";18670;0;18670;
1219032;"Kłaj (2)";11218;0;11218;
1219043;"Niepołomice (3)";33472;17096;16376;
1219044;"Niepołomice - urban area (4)";17096;17096;0;
1219045;"Niepołomice - rural area (5)";16376;0;16376;
1219053;"Wieliczka (3)";69353;27979;41374;
1219054;"Wieliczka - urban area (4)";27979;27979;0;
1219055;"Wieliczka - rural area (5)";41374;0;41374;
1261000;"City with powiat status Kraków";807644;807644;0;
1261000;"City with powiat status Kraków - URBAN GMINAS";807644;807644;0;
1261011;"Kraków (1)";807644;807644;0;
1262000;"City with powiat status Nowy Sącz";79985;79985;0;
1262000;"City with powiat status Nowy Sącz - URBAN GMINAS";79985;79985;0;
1262011;"Nowy Sącz (1)";79985;79985;0;
1263000;"City with powiat status Tarnów";102582;102582;0;
1263000;"City with powiat status Tarnów - URBAN GMINAS";102582;102582;0;
1263011;"Tarnów (1)";102582;102582;0;
1401000;"Powiat białobrzeski";32432;7269;25163;
1401000;"Powiat białobrzeski - URBAN-RURAL GMINAS";12422;7269;5153;
1401013;"Białobrzegi (3)";9756;6398;3358;
1401014;"Białobrzegi - urban area (4)";6398;6398;0;
1401015;"Białobrzegi - rural area (5)";3358;0;3358;
1401022;"Promna (2)";5433;0;5433;
1401032;"Radzanów (2)";3792;0;3792;
1401042;"Stara Błotnica (2)";5423;0;5423;
1401052;"Stromiec (2)";5362;0;5362;
1401063;"Wyśmierzyce (3)";2666;871;1795;
1401064;"Wyśmierzyce - urban area (4)";871;871;0;
1401065;"Wyśmierzyce - rural area (5)";1795;0;1795;
1402000;"Powiat ciechanowski";84917;44397;40520;
1402000;"Powiat ciechanowski - URBAN GMINAS";41634;41634;0;
1402000;"Powiat ciechanowski - URBAN-RURAL GMINAS";7077;2763;4314;
1402011;"Ciechanów (1)";41634;41634;0;
1402022;"Ciechanów (2)";7558;0;7558;
1402033;"Glinojeck (3)";7077;2763;4314;
1402034;"Glinojeck - urban area (4)";2763;2763;0;
1402035;"Glinojeck - rural area (5)";4314;0;4314;
1402042;"Gołymin-Ośrodek (2)";3481;0;3481;
1402052;"Grudusk (2)";3271;0;3271;
1402062;"Ojrzeń (2)";4057;0;4057;
1402072;"Opinogóra Górna (2)";5814;0;5814;
1402082;"Regimin (2)";4688;0;4688;
1402092;"Sońsk (2)";7337;0;7337;
1403000;"Powiat garwoliński";105349;31298;74051;
1403000;"Powiat garwoliński - URBAN GMINAS";21731;21731;0;
1403000;"Powiat garwoliński - URBAN-RURAL GMINAS";24607;9567;15040;
1403011;"Garwolin (1)";17267;17267;0;
1403021;"Łaskarzew (1)";4464;4464;0;
1403032;"Borowie (2)";4895;0;4895;
1403042;"Garwolin (2)";13507;0;13507;
1403052;"Górzno (2)";6715;0;6715;
1403062;"Łaskarzew (2)";5224;0;5224;
1403073;"Maciejowice (3)";6308;1440;4868;
1403074;"Maciejowice - urban area (4)";1440;1440;0;
1403075;"Maciejowice - rural area (5)";4868;0;4868;
1403082;"Miastków Kościelny (2)";4610;0;4610;
1403092;"Parysów (2)";4084;0;4084;
1403103;"Pilawa (3)";10543;4423;6120;
1403104;"Pilawa - urban area (4)";4423;4423;0;
1403105;"Pilawa - rural area (5)";6120;0;6120;
1403112;"Sobolew (2)";7798;0;7798;
1403122;"Trojanów (2)";7092;0;7092;
1403132;"Wilga (2)";5086;0;5086;
1403143;"Żelechów (3)";7756;3704;4052;
1403144;"Żelechów - urban area (4)";3704;3704;0;
1403145;"Żelechów - rural area (5)";4052;0;4052;
1404000;"Powiat gostyniński";41969;18552;23417;
1404000;"Powiat gostyniński - URBAN GMINAS";16839;16839;0;
1404000;"Powiat gostyniński - URBAN-RURAL GMINAS";5564;1713;3851;
1404011;"Gostynin (1)";16839;16839;0;
1404022;"Gostynin (2)";11696;0;11696;
1404032;"Pacyna (2)";3200;0;3200;
1404043;"Sanniki (3)";5564;1713;3851;
1404044;"Sanniki - urban area (4)";1713;1713;0;
1404045;"Sanniki - rural area (5)";3851;0;3851;
1404052;"Szczawin Kościelny (2)";4670;0;4670;
1405000;"Powiat grodziski";106373;55092;51281;
1405000;"Powiat grodziski - URBAN GMINAS";20188;20188;0;
1405000;"Powiat grodziski - URBAN-RURAL GMINAS";55909;34904;21005;
1405011;"Milanówek (1)";16411;16411;0;
1405021;"Podkowa Leśna (1)";3777;3777;0;
1405032;"Baranów (2)";5381;0;5381;
1405043;"Grodzisk Mazowiecki (3)";55909;34904;21005;
1405044;"Grodzisk Mazowiecki - urban area (4)";34904;34904;0;
1405045;"Grodzisk Mazowiecki - rural area (5)";21005;0;21005;
1405052;"Jaktorów (2)";13611;0;13611;
1405062;"Żabia Wola (2)";11284;0;11284;
1406000;"Powiat grójecki";96857;34243;62614;
1406000;"Powiat grójecki - URBAN-RURAL GMINAS";60499;34243;26256;
1406012;"Belsk Duży (2)";6164;0;6164;
1406022;"Błędów (2)";7010;0;7010;
1406032;"Chynów (2)";10163;0;10163;
1406042;"Goszczyn (2)";2840;0;2840;
1406053;"Grójec (3)";26216;16782;9434;
1406054;"Grójec - urban area (4)";16782;16782;0;
1406055;"Grójec - rural area (5)";9434;0;9434;
1406062;"Jasieniec (2)";5339;0;5339;
1406073;"Mogielnica (3)";8128;2119;6009;
1406074;"Mogielnica - urban area (4)";2119;2119;0;
1406075;"Mogielnica - rural area (5)";6009;0;6009;
1406083;"Nowe Miasto nad Pilicą (3)";7100;3475;3625;
1406084;"Nowe Miasto nad Pilicą - urban area (4)";3475;3475;0;
1406085;"Nowe Miasto nad Pilicą - rural area (5)";3625;0;3625;
1406092;"Pniewy (2)";4842;0;4842;
1406113;"Warka (3)";19055;11867;7188;
1406114;"Warka - urban area (4)";11867;11867;0;
1406115;"Warka - rural area (5)";7188;0;7188;
1407000;"Powiat kozienicki";56959;17184;39775;
1407000;"Powiat kozienicki - URBAN-RURAL GMINAS";40661;17184;23477;
1407012;"Garbatka-Letnisko (2)";4726;0;4726;
1407023;"Głowaczów (3)";6670;827;5843;
1407024;"Głowaczów - urban area (4)";827;827;0;
1407025;"Głowaczów - rural area (5)";5843;0;5843;
1407032;"Gniewoszów (2)";3746;0;3746;
1407042;"Grabów nad Pilicą (2)";4097;0;4097;
1407053;"Kozienice (3)";27633;15387;12246;
1407054;"Kozienice - urban area (4)";15387;15387;0;
1407055;"Kozienice - rural area (5)";12246;0;12246;
1407063;"Magnuszew (3)";6358;970;5388;
1407064;"Magnuszew - urban area (4)";970;970;0;
1407065;"Magnuszew - rural area (5)";5388;0;5388;
1407072;"Sieciechów (2)";3729;0;3729;
1408000;"Powiat legionowski";132639;57820;74819;
1408000;"Powiat legionowski - URBAN GMINAS";52494;52494;0;
1408000;"Powiat legionowski - URBAN-RURAL GMINAS";17930;5326;12604;
1408011;"Legionowo (1)";52494;52494;0;
1408022;"Jabłonna (2)";23606;0;23606;
1408032;"Nieporęt (2)";17330;0;17330;
1408043;"Serock (3)";17930;5326;12604;
1408044;"Serock - urban area (4)";5326;5326;0;
1408045;"Serock - rural area (5)";12604;0;12604;
1408052;"Wieliszew (2)";21279;0;21279;
1409000;"Powiat lipski";31399;7499;23900;
1409000;"Powiat lipski - URBAN-RURAL GMINAS";25169;7499;17670;
1409012;"Chotcza (2)";2185;0;2185;
1409023;"Ciepielów (3)";5160;724;4436;
1409024;"Ciepielów - urban area (4)";724;724;0;
1409025;"Ciepielów - rural area (5)";4436;0;4436;
1409033;"Lipsko (3)";9978;4914;5064;
1409034;"Lipsko - urban area (4)";4914;4914;0;
1409035;"Lipsko - rural area (5)";5064;0;5064;
1409042;"Rzeczniów (2)";4045;0;4045;
1409053;"Sienno (3)";5502;936;4566;
1409054;"Sienno - urban area (4)";936;936;0;
1409055;"Sienno - rural area (5)";4566;0;4566;
1409063;"Solec nad Wisłą (3)";4529;925;3604;
1409064;"Solec nad Wisłą - urban area (4)";925;925;0;
1409065;"Solec nad Wisłą - rural area (5)";3604;0;3604;
1410000;"Powiat łosicki";28474;6771;21703;
1410000;"Powiat łosicki - URBAN-RURAL GMINAS";10361;6771;3590;
1410012;"Huszlew (2)";2619;0;2619;
1410023;"Łosice (3)";10361;6771;3590;
1410024;"Łosice - urban area (4)";6771;6771;0;
1410025;"Łosice - rural area (5)";3590;0;3590;
1410032;"Olszanka (2)";2725;0;2725;
1410042;"Platerów (2)";4338;0;4338;
1410052;"Sarnaki (2)";4058;0;4058;
1410062;"Stara Kornica (2)";4373;0;4373;
1411000;"Powiat makowski";41479;11475;30004;
1411000;"Powiat makowski - URBAN GMINAS";8890;8890;0;
1411000;"Powiat makowski - URBAN-RURAL GMINAS";4203;2585;1618;
1411011;"Maków Mazowiecki (1)";8890;8890;0;
1411022;"Czerwonka (2)";2532;0;2532;
1411032;"Karniewo (2)";4806;0;4806;
1411042;"Krasnosielc (2)";5830;0;5830;
1411052;"Młynarze (2)";1609;0;1609;
1411062;"Płoniawy-Bramura (2)";4784;0;4784;
1411073;"Różan (3)";4203;2585;1618;
1411074;"Różan - urban area (4)";2585;2585;0;
1411075;"Różan - rural area (5)";1618;0;1618;
1411082;"Rzewnie (2)";2407;0;2407;
1411092;"Sypniewo (2)";2902;0;2902;
1411102;"Szelków (2)";3516;0;3516;
1412000;"Powiat miński";159589;79192;80397;
1412000;"Powiat miński - URBAN GMINAS";61359;61359;0;
1412000;"Powiat miński - URBAN-RURAL GMINAS";57134;17833;39301;
1412011;"Mińsk Mazowiecki (1)";39823;39823;0;
1412043;"Cegłów (3)";6055;2319;3736;
1412044;"Cegłów - urban area (4)";2319;2319;0;
1412045;"Cegłów - rural area (5)";3736;0;3736;
1412052;"Dębe Wielkie (2)";11916;0;11916;
1412063;"Dobre (3)";5852;1831;4021;
1412064;"Dobre - urban area (4)";1831;1831;0;
1412065;"Dobre - rural area (5)";4021;0;4021;
1412073;"Halinów (3)";18304;3736;14568;
1412074;"Halinów - urban area (4)";3736;3736;0;
1412075;"Halinów - rural area (5)";14568;0;14568;
1412082;"Jakubów (2)";5087;0;5087;
1412093;"Kałuszyn (3)";5505;2680;2825;
1412094;"Kałuszyn - urban area (4)";2680;2680;0;
1412095;"Kałuszyn - rural area (5)";2825;0;2825;
1412103;"Latowicz (3)";5117;1348;3769;
1412104;"Latowicz - urban area (4)";1348;1348;0;
1412105;"Latowicz - rural area (5)";3769;0;3769;
1412112;"Mińsk Mazowiecki (2)";17046;0;17046;
1412123;"Mrozy (3)";8641;3631;5010;
1412124;"Mrozy - urban area (4)";3631;3631;0;
1412125;"Mrozy - rural area (5)";5010;0;5010;
1412133;"Siennica (3)";7660;2288;5372;
1412134;"Siennica - urban area (4)";2288;2288;0;
1412135;"Siennica - rural area (5)";5372;0;5372;
1412142;"Stanisławów (2)";7047;0;7047;
1412151;"Sulejówek (1)";21536;21536;0;
1413000;"Powiat mławski";68872;30735;38137;
1413000;"Powiat mławski - URBAN GMINAS";30735;30735;0;
1413011;"Mława (1)";30735;30735;0;
1413022;"Dzierzgowo (2)";2728;0;2728;
1413032;"Lipowiec Kościelny (2)";4448;0;4448;
1413042;"Radzanów (2)";2903;0;2903;
1413052;"Strzegowo (2)";6981;0;6981;
1413062;"Stupsk (2)";4387;0;4387;
1413072;"Szreńsk (2)";3783;0;3783;
1413082;"Szydłowo (2)";4164;0;4164;
1413092;"Wieczfnia Kościelna (2)";3633;0;3633;
1413102;"Wiśniewo (2)";5110;0;5110;
1414000;"Powiat nowodworski";79484;38955;40529;
1414000;"Powiat nowodworski - URBAN GMINAS";28527;28527;0;
1414000;"Powiat nowodworski - URBAN-RURAL GMINAS";25052;10428;14624;
1414011;"Nowy Dwór Mazowiecki (1)";28527;28527;0;
1414022;"Czosnów (2)";11064;0;11064;
1414032;"Leoncin (2)";5586;0;5586;
1414043;"Nasielsk (3)";19207;7301;11906;
1414044;"Nasielsk - urban area (4)";7301;7301;0;
1414045;"Nasielsk - rural area (5)";11906;0;11906;
1414052;"Pomiechówek (2)";9255;0;9255;
1414063;"Zakroczym (3)";5845;3127;2718;
1414064;"Zakroczym - urban area (4)";3127;3127;0;
1414065;"Zakroczym - rural area (5)";2718;0;2718;
1415000;"Powiat ostrołęcki";87450;3179;84271;
1415000;"Powiat ostrołęcki - URBAN-RURAL GMINAS";9930;3179;6751;
1415012;"Baranowo (2)";5954;0;5954;
1415022;"Czarnia (2)";2203;0;2203;
